Category Name,Cuisine Name,Item Name,Size,Price,Img Path,Item description,F/BA,Veg/Non-Veg,Priority
Starters,International,Sweet and spicy BYLI nuts,Normal,90,,Spiced with jalapeno onnion and coriander,F,Non-Veg,1
Starters,International,Sweet and spicy BYLI nuts,Regular,125,,Spiced with jalapeno onnion and coriander,F,Non-Veg,1
Starters,International,Sweet and spicy BYLI nuts,Half,165,,Spiced with jalapeno onnion and coriander,F,Non-Veg,1
Starters,International,Sweet and spicy BYLI nuts,Full,300,,Spiced with jalapeno onnion and coriander,F,Non-Veg,1
Starters,International,Mozzarella In corazona,,165,,Melted mazzerella enveloped in crispy slices of farmers bread and served with pesto and served along with minted apple dip,F,Veg,2
Starters,International,California potato skins,,175,,Scooped out roasted potato withn skin filled with cheedar cheese & with salami,F,Veg,3
Starters,International,Guacamole(Seasonal),,175,,Made fresh to order just tell how spicy you want,F,Non-Veg,4
Starters,International,BYLI style potato,,175,,Hot & crunchy potatoes  tossed with garlic rosemary with a side,F,Veg,5
Starters,International,Masala garlic bread,,155,,,F,Veg,6
Starters,International,Quesadilla,,175,,"Grilled flour tortilla stuffed with cheese tomato,pepper salsa and sour cream",F,Veg,7
Starters,International,Quesadilla with chicken,,200,,"Grilled flour tortilla stuffed with cheese tomato,pepper salsa and sour cream",F,Non-Veg,8
Starters,International,Quesadilla with shrimp,,215,,"Grilled flour tortilla stuffed with cheese tomato,pepper salsa and sour cream",F,Non-Veg,9
Starters,International,Moraccan fried mushroom,,195,,Button mushrooms marinated with moroccan spice and crumb fried.Served along cocktail dip,F,Veg,10
Starters,International,Hummus & Pitas,,200,,"Olive oil,cherry tomato diced with onions",F,Veg,11
Starters,International,"Spinach,Artichoke & cream cheese dip",,215,,Tender archokes and spinach blended strips,F,Veg,12
Starters,International,3 Muskeeters,,200,,Toasted french bread topped with famous veg topplings and basil mozerella,F,Veg,13
Starters,International,Pulled chicken sliders,,215,,Pulled chicken house made pimento cheese and lettuce,F,Non-Veg,14
Starters,International,Hot BYLI Chicken,,245,,Fresh red chilli and basil in oriental style,F,Non-Veg,15
Starters,International,Devilishly & Deliciously Hot wings(DD Wings),,245,,Traditional upstate american spicy chicken wings marinated and deep fried,F,Non-Veg,16
Starters,International,Chef lai hing prawn,,290,,Small bite size meat fried crispy and tossed in orientd stlye,F,Non-Veg,17
Starters,International,Chef lai hing chicken,,245,,Chef's at lunch munch his favourite,F,Non-Veg,18
Starters,International,BYLU Calamari,,280,,Chef's at lunch munch his favourite,F,Non-Veg,19
Starters,International,Hungarian lamb chops,,320,,Juicy lamb chops marinated with hungarian chilly pilled up on top in oriental style,F,Non-Veg,20
Starters,International,Lagee-Gee style chicken,,245,,Crispy prawns tossed in salt & pepper style with chef's twist,F,Non-Veg,21
Starters,International,Lagee-Gee style prawn,,290,,Crispy prawns tossed in salt & pepper style with chef's twist,F,Non-Veg,22
Starters,International,Grilled nimi's chicken,,250,,Creation of chef's at BYLI,F,Non-Veg,23
Starters,International,BYLI Nachos choice of chicken,,265,,"Crisp corn tortilla topped with refined beans, served with soul creamspiced inslata and gaucamole",F,Non-Veg,24
Starters,International,BYLI Nachos cajun cottage cheese,,245,,"Crisp corn tortilla topped with refined beans, served with soul creamspiced inslata and gaucamole",F,Veg,25
Starters,International,BYLI fish tank,,390,,"A fresh selection of king prawns in batter,served with chips salads and dips",F,Non-Veg,26
Homemade Soups,International,Non-veg Soup,,150,,,F,Non-Veg,27
Homemade Soups,International,Veg Soup,,125,,,F,Veg,28
Salads,International,Garden salad,,145,,"Mixed lettuce,tomato,spanish onion cucumber and carrot",F,Veg,29
Salads,International,Greek salad,,145,,"Mixed lettuce,tomato,spanish onion cucumber and carrot",F,Veg,30
Salads,International,Ceaser salad,,150,,"Lettuce,croutons,parmesan cheese & pickled veges in Ceaser dressing",F,Veg,31
